EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-14.747,-26.543,-19.328,-10.544,-16.362,-14.153,-3.143,-9.792,-0.019,0.936,-0.385,0.824,3.662,-0.702,60.000,266103.000,1.000
-7.698,-21.836,-11.499,-3.626,-10.322,-8.959,1.248,-5.292,-0.020,0.936,-0.383,0.854,3.632,-0.763,60.000,266104.000,1.000
-8.620,-7.517,-6.564,-8.717,-12.747,-9.268,-6.615,-5.896,-0.021,0.937,-0.384,0.824,3.510,-0.763,60.000,266105.000,1.000
-12.258,-0.763,-8.280,-16.597,-18.357,-13.885,-16.126,-10.353,-0.021,0.935,-0.384,0.916,3.448,-0.824,60.000,266106.000,1.000
-9.445,-7.856,-11.321,-13.838,-17.057,-15.158,-13.798,-11.590,-0.021,0.938,-0.385,0.854,3.387,-0.763,60.000,266107.000,1.000
-0.615,-16.391,-9.370,-2.188,-8.864,-10.287,-2.697,-7.235,-0.020,0.936,-0.384,0.854,3.235,-0.641,60.000,266108.000,1.000
4.443,-12.923,-4.037,3.448,-4.400,-5.563,1.382,-3.235,-0.021,0.937,-0.382,0.732,3.113,-0.641,60.000,266109.000,1.000
0.407,-1.364,-2.215,-4.218,-10.014,-7.457,-8.048,-5.409,-0.020,0.937,-0.379,0.732,2.960,-0.702,60.000,266110.000,1.000
-5.527,3.159,-5.755,-14.167,-18.200,-12.944,-18.488,-10.705,-0.020,0.937,-0.381,0.763,2.808,-0.671,60.000,266111.000,1.000
-2.942,-3.974,-8.183,-11.595,-16.974,-12.858,-14.883,-10.649,-0.023,0.938,-0.382,0.702,2.686,-0.702,60.000,266112.000,1.000
7.452,-10.169,-3.533,1.888,-5.907,-4.256,-0.056,-2.788,-0.020,0.936,-0.382,0.702,2.686,-0.610,60.000,266113.000,1.000
14.226,-3.356,4.866,10.217,3.150,5.149,8.936,5.614,-0.019,0.934,-0.383,0.671,2.533,-0.519,60.000,266114.000,1.000
10.083,10.544,8.123,4.449,1.784,6.849,3.676,6.905,-0.020,0.935,-0.383,0.732,2.441,-0.488,60.000,266115.000,1.000
1.006,14.868,3.216,-5.643,-4.255,2.366,-4.867,2.793,-0.020,0.934,-0.380,0.610,2.258,-0.488,60.000,266116.000,1.000
-2.395,4.609,-3.254,-5.497,-3.695,0.505,-2.125,1.455,-0.019,0.932,-0.380,0.580,2.289,-0.488,60.000,266117.000,1.000
0.901,-6.602,-3.900,4.304,4.509,5.157,9.846,6.254,-0.020,0.934,-0.380,0.519,2.167,-0.519,60.000,266118.000,1.000
2.022,-4.666,0.091,9.525,10.096,10.504,15.638,11.568,-0.018,0.934,-0.382,0.488,2.197,-0.519,60.000,266119.000,1.000
-4.324,6.356,1.532,2.602,6.221,9.768,8.349,11.043,-0.017,0.933,-0.382,0.519,2.167,-0.488,60.000,266120.000,1.000
-11.829,10.438,-2.314,-6.766,-0.850,4.913,-0.688,6.407,-0.015,0.931,-0.379,0.610,2.136,-0.458,60.000,266121.000,1.000
-11.088,1.996,-5.839,-5.213,-0.441,3.887,2.309,4.811,-0.016,0.931,-0.380,0.671,2.106,-0.458,60.000,266122.000,1.000
-2.606,-6.361,-2.954,5.652,7.685,9.442,14.370,8.800,-0.017,0.932,-0.381,0.763,2.045,-0.427,60.000,266123.000,1.000
3.674,-1.497,4.160,11.312,12.867,14.993,19.715,12.804,-0.016,0.934,-0.382,0.763,1.984,-0.519,60.000,266124.000,1.000
1.607,11.631,7.566,4.222,8.105,13.314,11.349,10.899,-0.015,0.933,-0.384,0.885,2.014,-0.549,60.000,266125.000,1.000
-3.286,16.342,4.061,-5.919,-0.393,6.230,0.545,5.076,-0.017,0.934,-0.384,0.854,1.984,-0.580,60.000,266126.000,1.000
